,Date,Open,High,Low,Close,Adj Close,Volume,MA_50,MA_100,MA_200,Close_diff,RSI,SO(%K),RSI_CAT,SO(%K)_CAT,EMA_50,EMA_200,SO_%D
41,2016-12-29,8030.600098,8111.100098,8020.799805,8103.600098,8103.600098,178500.0,8258.176982500003,8480.781508859998,8246.533005405,73.0,61.624264215694204,18.807562294151065,Balanced,OverSold,8263.150718149807,8242.002031201964,15.057050047101782
42,2016-12-30,8119.649902,8197.0,8114.75,8185.799805,8185.799805,127600.0,8248.710986420003,8476.410502999997,8250.03525394,66.14990299999954,60.0818695890448,20.51684811084417,Balanced,Balanced,8255.338661813728,8245.928694953209,14.171948499564015
43,2017-01-02,8210.099609,8212.0,8133.799805,8179.5,8179.5,118300.0,8238.312978600003,8472.757006909997,8253.506254915,-30.599609000000783,62.01703253712161,13.964918258212444,Balanced,OverSold,8245.996830089807,8249.333410617213,17.763109554402558
44,2017-01-03,8196.049805,8219.099609,8148.600098,8192.25,8192.25,127300.0,8228.296982500002,8469.168510819998,8256.80850589,-3.7998050000005605,67.31113371049898,13.97021697319115,Balanced,OverSold,8236.506587282356,8252.896739940723,16.150661114082588
45,2017-01-04,8202.650391,8218.5,8180.899902,8190.5,8190.5,132400.0,8217.927978600002,8464.242006909999,8260.330256379999,-12.150390999999217,69.5773283337574,3.4267718450717704,Balanced,OverSold,8226.814747892158,8256.14871976174,10.453969025491787
46,2017-01-05,8226.650391,8282.650391,8223.700195,8273.799805,8273.799805,159100.0,8209.577978600002,8459.866508869998,8264.148254429998,47.14941400000134,71.11310352090307,19.47506705539402,OverBought,OverSold,8220.11903061569,8260.464281739401,12.29068529121898
47,2017-01-06,8281.849609,8306.849609,8233.25,8243.799805,8243.799805,139400.0,8202.148974700001,8455.522006919997,8267.673503454997,-38.04980400000022,71.15894095905901,4.170409589788755,OverBought,OverSold,8210.920011007845,8263.945782296367,9.024082830084849
48,2017-01-09,8259.349609,8263.0,8227.75,8236.049805,8236.049805,99100.0,8194.564970800002,8452.129506919997,8271.550751989997,-23.299804000000222,71.05102651324061,1.86533348974048,OverBought,OverSold,8203.478419025492,8267.358839788778,8.503603378307751
49,2017-01-10,8262.700195,8293.799805,8261.0,8288.599609,8288.599609,142900.0,8187.5769629800025,8449.093999099998,8275.500000034996,25.899414000001343,67.77831274247569,6.703812467225288,Balanced,OverSold,8198.25260367059,8271.720392358255,4.2465185155848415
50,2017-01-11,8327.799805,8389.0,8322.25,8380.650391,8380.650391,186500.0,8182.664970800002,8446.475004959997,8279.840502964995,52.85058599999866,68.1092258415842,16.66439106989206,Balanced,OverSold,8195.14846996118,8276.54627258191,8.411179008952608
51,2017-01-12,8391.049805,8417.200195,8382.299805,8407.200195,8407.200195,172600.0,8180.528974700002,8444.306508859996,8283.854753449996,16.15038999999888,69.48678945577166,20.242904940259706,Balanced,Balanced,8191.470273709806,8281.107763582258,14.537036159125684
52,2017-01-13,8457.650391,8461.049805,8373.150391,8400.349609,8400.349609,185300.0,8178.836962980003,8441.577504949997,8287.335251494995,-57.300781999998435,68.94359862756093,16.995704831512878,Balanced,OverSold,8189.149391731375,8285.013906241538,17.96766694722155
53,2017-01-16,8390.950195,8426.700195,8374.400391,8412.799805,8412.799805,124100.0,8178.417959080003,8439.036499089998,8290.824751009995,21.84961000000112,69.87806184019044,19.888412301602447,Balanced,OverSold,8188.011976392551,8288.583655012457,19.04234069112501
54,2017-01-17,8415.049805,8440.900391,8378.299805,8398.0,8398.0,122000.0,8176.436962980003,8436.724995179999,8294.232251009993,-17.04980500000056,66.85364638704431,14.540950957069823,Balanced,OverSold,8187.029019508238,8291.891171397956,17.14168936339505
55,2017-01-18,8403.849609,8460.299805,8397.400391,8417.0,8417.0,163800.0,8173.905966880003,8434.568999089997,8298.241750519994,13.150390999999217,62.82882849702202,18.443194306247474,Balanced,OverSold,8185.870807569023,8295.453820651685,17.62418585497325
